freq,purchase,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DW_EXST,I10_A_AVG,AT	: 	: 	: 	: 	: 	100.00 	105.43 	111.66 	117.22 	121.58 	128.63 	136.27 	144.48 	153.57 	162.82 	175.30 	198.25 	221.28 	212.27 
A,DW_EXST,I10_A_AVG,BE	76.19 	85.04 	92.62 	97.24 	97.10 	100.00 	103.51 	106.06 	107.10 	107.12 	108.42 	110.71 	114.46 	117.96 	122.63 	127.83 	136.53 	144.12 	147.53 
A,DW_EXST,I10_A_AVG,BG	76.56 	87.81 	113.21 	141.46 	111.25 	100.00 	93.94 	91.44 	89.80 	90.23 	92.29 b	99.07 	108.70 	116.35 	121.93 	129.22 	141.15 	163.17 b	180.44 
A,DW_EXST,I10_A_AVG,CY	: 	: 	: 	: 	: 	100.00 	101.61 	97.05 	92.80 	93.43 	91.93 b	91.34 	92.65 	92.93 	93.87 	93.99 	94.52 	96.28 	98.68 
A,DW_EXST,I10_A_AVG,CZ	: 	: 	: 	106.80 	101.60 	100.00 	100.30 	99.00 	98.90 	101.40 	105.40 	113.10 	126.00 	136.30 	148.90 	161.20 	193.50 	225.50 	221.70 
A,DW_EXST,I10_A_AVG,DE	101.10 	100.80 	98.00 	99.10 	99.20 	100.00 	103.30 	106.90 	110.60 	113.90 	119.20 	128.30 	136.50 	145.60 	154.70 	167.10 	187.60 	197.20 	178.40 
A,DW_EXST,I10_A_AVG,DK	91.79 	113.85 	116.50 	110.62 	97.15 	100.00 	98.08 	95.28 	98.64 	102.31 	109.38 	114.42 	120.12 	125.54 	128.33 	133.94 	149.68 	156.81 	150.07 
A,DW_EXST,I10_A_AVG,EA	: 	: 	: 	: 	: 	100.00 	101.36 	99.66 	97.54 	97.78 	99.22 	103.27 	108.00 	113.26 	118.22 	124.45 	134.75 	143.99 	140.88 
A,DW_EXST,I10_A_AVG,EA19	: 	: 	: 	: 	: 	100.00 	101.40 	99.70 	97.64 	97.93 	99.37 	103.43 	108.16 	113.43 	118.39 	124.64 	134.96 	144.20 	141.01 
A,DW_EXST,I10_A_AVG,EA20	: 	: 	: 	: 	: 	100.00 	101.39 	99.68 	97.61 	97.89 	99.32 	103.36 	108.09 	113.37 	118.37 	124.65 	134.95 	144.28 	141.26 
A,DW_EXST,I10_A_AVG,EE	98.69 	156.23 	177.06 	157.86 	96.78 	100.00 	108.46 	114.69 	127.71 	141.74 	148.70 	155.18 	164.39 	171.05 	182.55 	188.88 	221.25 	277.52 	282.03 
A,DW_EXST,I10_A_AVG,ES	: 	109.68 	118.61 	111.22 	101.21 	100.00 	90.55 	77.11 	68.71 	68.77 	71.09 	74.15 	78.78 	84.12 	88.15 	89.42 	92.64 	99.37 	102.61 
A,DW_EXST,I10_A_AVG,EU	: 	: 	: 	: 	: 	100.00 	100.28 	98.71 	97.70 	99.54 	102.40 	107.39 	112.71 	118.08 	123.17 	130.04 	141.52 	152.05 	149.65 
A,DW_EXST,I10_A_AVG,EU27_2020	: 	: 	: 	: 	: 	100.00 	100.67 	98.72 	97.06 	97.80 	100.02 	104.52 	109.78 	115.32 	120.96 	127.87 	139.15 	149.50 	147.14 
A,DW_EXST,I10_A_AVG,EU28	: 	: 	: 	: 	: 	100.00 	100.28 	98.70 	97.68 	99.52 	102.38 	107.37 	112.69 	118.05 	123.15 	: 	: 	: 	: 
A,DW_EXST,I10_A_AVG,FI	: c	: c	: c	: c	92.11 	100.00 	102.64 	103.86 	104.61 	103.62 	103.16 b	104.30 	104.97 	105.69 	105.83 	107.27 	111.92 	112.49 	104.80 
A,DW_EXST,I10_A_AVG,FR	85.04 	95.28 	101.56 	102.41 	95.12 	100.00 	105.95 	105.37 	103.15 	101.29 	99.42 	100.34 	103.37 	106.48 	109.95 	116.08 	123.73 	131.64 	130.76 
A,DW_EXST,I10_A_AVG,HR	: 	: 	: 	113.25 	105.52 	100.00 	99.02 	96.51 	92.41 	91.24 	89.95 	91.58 	95.75 	102.04 	111.29 	120.79 	129.47 	148.24 	166.61 
A,DW_EXST,I10_A_AVG,HU	: 	: 	105.50 	108.00 	101.95 	100.00 	96.58 	92.73 	90.14 	93.91 	106.38 	120.78 	135.13 	154.57 	181.48 	188.60 	218.88 	268.04 	283.91 p
A,DW_EXST,I10_A_AVG,IE	: 	: 	: 	: 	: 	100.00 	82.80 	71.58 	73.44 	86.22 	95.63 	102.76 	114.96 	126.61 	128.89 	128.52 	141.20 	160.25 	162.14 
A,DW_EXST,I10_A_AVG,IT	: 	: 	: 	: 	: 	100.00 	100.40 	95.80 	87.50 	82.70 	78.90 	79.00 	78.10 	77.30 	77.00 	78.40 	80.20 	82.90 	83.30 
A,DW_EXST,I10_A_AVG,LT	: 	108.08 	144.54 	152.12 	104.53 	100.00 	105.92 	104.01 	106.27 	113.53 	117.33 	124.92 	135.61 	145.23 	155.46 	167.46 	196.14 	232.01 	247.88 
A,DW_EXST,I10_A_AVG,LU	: 	: 	96.50 	97.95 	94.44 	100.00 	104.82 	108.95 	112.57 	118.34 	123.01 	130.65 	138.08 	148.82 	164.98 	189.21 	217.49 	236.72 	210.47 
A,DW_EXST,I10_A_AVG,LV	: 	130.42 	179.93 	180.97 	114.00 	100.00 	106.03 	106.80 	114.74 	120.81 	118.22 	128.27 	139.69 	153.96 	167.66 	171.89 	195.99 	223.78 	225.50 
