TIME	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
European Union - 27 countries (from 2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
European Union - 28 countries (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Euro area – 20 countries (from 2023)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium	:	:	:	:	:	-5.6591	-13.8905	-6.7404	-10.9767	-9.0096	-11.5562	-7.7496	-15.6177	-13.1508	-13.4855	-13.7332	-5.5749	1.0164	-1.8634	-2.1360	9.9703	5.1252	-1.4117	-2.1276
Bulgaria	:	:	:	30.4007	51.7272	40.7250	42.7112	45.1663	35.0842	19.0119	7.9677	11.1214	-1.1130	-0.3782	6.5280	12.8349	8.6554	19.3033	12.2806	13.0838	16.1157	12.2804	16.4329	18.3554
Czechia	-1.4733	13.0962	30.0500	22.3112	54.7544	75.0903	57.7157	58.3989	53.0616	27.1553	11.7033	7.3867	-4.5729	-9.9794	-6.4089	-2.0623	2.1153	7.9915	10.6900	4.4089	6.2058	-2.1360	-7.8278	0.2480
Denmark	:	:	:	:	:	:	:	-5.95	-4.08	-1.12	-10.4751	-13.3428	-17.2778	-17.6562	-15.8630	-8.5061	-3.7268	0.5734	-0.7837	0.8870	9.7627	6.0031	12.5504	11.1747
Germany	-12.3063	-3.8241	2.4492	-0.3037	4.8190	8.8031	1.3560	1.3386	-5.9921	-8.1567	-9.1353	-10.4876	-17.8610	-14.7680	-11.2754	-5.6461	-1.0030	2.0427	0.9518	-2.8599	-0.3985	-6.7642	-12.9851	-7.8945
Estonia	14.2320	16.9629	1.1651	-1.6844	15.1688	60.5461	44.2028	53.9434	36.9682	16.3030	9.5001	24.4095	6.8176	9.6740	20.2973	7.0896	-1.2580	1.1565	-0.6364	0.9386	15.3791	18.3038	18.8305	14.9927
Ireland	44.08	59.02	65.06	28.05	13.94	8.80	-9.62	-11.9653	-16.7195	1.8468	-6.2730	-10.2884	-18.4273	-3.8373	-8.2251	48.0463	71.1888	87.2190	73.3969	67.0311	50.1972	35.8767	24.6326	24.4302
Greece	:	:	:	:	:	:	-3.88	9.3058	4.8346	-10.3407	-15.6762	-17.1737	-26.3399	-26.8128	-19.5389	-14.1382	-10.3206	-1.1738	5.7054	2.5338	-11.2470	8.2508	11.8520	6.2119
